file_id	sample_barcode	sample_type
ead53b27-6ad9-4b96-b5d4-0d4f06fb2d13	TCGA-A8-A09E-01A	Primary Tumor
0e1999e0-9c02-4804-88b6-60b46d100739	TCGA-A7-A0DC-01A	Primary Tumor
9e056a2a-a643-478a-b96c-85d5221f487a	TCGA-A7-A0DC-11A	Solid Tissue Normal
3e8cff80-ed17-479c-8327-ca8e71ee7482	TCGA-A7-A0DC-01B	Primary Tumor
385ddd6f-c126-4c4f-acde-1ef2d74d3639	TCGA-A8-A08F-01A	Primary Tumor
91060c43-f1e3-49ea-a3c9-96def417716b	TCGA-A8-A091-01A	Primary Tumor
84cff855-d17a-4c09-b432-53893ae69c1e	TCGA-GI-A2C8-11A	Solid Tissue Normal
d796de5e-4512-4b3a-93d4-2a006e79084f	TCGA-E2-A1L7-11A	Solid Tissue Normal
e12f17ae-dc1f-4e91-93bd-b827ad276dde	TCGA-AO-A0JI-01A	Primary Tumor
7ba3b335-cd4c-4b44-a4da-44fa1109a6f0	TCGA-A2-A0D4-01A	Primary Tumor
db5aadbb-3042-4c20-8235-ccd19634d9d3	TCGA-AC-A62V-01A	Primary Tumor
176e739b-87e2-49b7-80e1-c27a6a632576	TCGA-D8-A1XB-01A	Primary Tumor
2c74854f-4afe-48c3-9c81-d64634c14677	TCGA-OL-A6VQ-01A	Primary Tumor
cd47d9e9-8072-4681-93ac-6c1420f6624c	TCGA-B6-A0WV-01A	Primary Tumor
2291d3f5-8269-4f31-adad-4b873c7ac770	TCGA-LL-A442-01A	Primary Tumor
51aab02d-11b1-4ef3-a8f3-8146b6c24aad	TCGA-E9-A22G-01A	Primary Tumor
25294e7a-1f15-411c-a2fd-93097e387db2	TCGA-PE-A5DC-01A	Primary Tumor
28aa7b6c-d5ec-4aa1-9c39-70d571efe6fb	TCGA-A2-A0EP-01A	Primary Tumor
d2007230-83cb-4f12-bec5-e42afc4a58cd	TCGA-AN-A0AK-01A	Primary Tumor
7afb1455-c2b6-4ae2-95ec-682ae7df34a2	TCGA-BH-A28Q-01A	Primary Tumor
69f5df3f-273f-4e02-934b-af9c9ec52067	TCGA-A2-A259-01A	Primary Tumor
05aa6d12-6d48-4ecb-8211-036e647ef72e	TCGA-AC-A2FF-01A	Primary Tumor
6c3f2469-50ea-48a7-bb17-043e74e54535	TCGA-AC-A2FG-01A	Primary Tumor
88a16056-cc45-4fee-99e0-f7fc7e1971df	TCGA-BH-A0B0-01A	Primary Tumor
16ffdede-3d07-431a-a4ed-318c7a66c096	TCGA-AO-A0JD-01A	Primary Tumor
e173c170-b7c6-4aa9-9f34-33cd02702d75	TCGA-AO-A128-01A	Primary Tumor
195c9f03-31c3-465a-ac58-3949246b173b	TCGA-BH-A1FE-01A	Primary Tumor
9a6563cf-557b-4f26-b6a2-6c6f1eb03654	TCGA-BH-A0BM-01A	Primary Tumor
c5e46ae9-c4c1-4afd-a772-392ede15808d	TCGA-AN-A0FZ-01A	Primary Tumor
4f54add3-c33d-4bc9-9e1f-c75f52d15f1e	TCGA-BH-A1FE-11B	Solid Tissue Normal
fc0e74d2-ab94-48b1-8e31-808bde7a3fe6	TCGA-A8-A07F-01A	Primary Tumor
31e1dbf5-8c97-4e4d-a488-d6737ab304c2	TCGA-A2-A0EO-01A	Primary Tumor
222b562a-3ef7-4e69-a60d-54aac5104102	TCGA-A1-A0SP-01A	Primary Tumor
0d11c50a-8648-48ea-a107-e138a1d3e086	TCGA-BH-A1F8-11B	Solid Tissue Normal
0c068d5a-ccad-47a5-bfe0-0dc5f136d6aa	TCGA-A2-A3XT-01A	Primary Tumor
d5358d17-4c49-46fa-8a96-4af9ab298ab4	TCGA-BH-A5J0-01A	Primary Tumor
20e90b8d-aa05-4918-8e54-1b969488148f	TCGA-A8-A08I-01A	Primary Tumor
3c70b5af-2238-4fbe-991b-dc68975cc7f1	TCGA-A7-A26F-01A	Primary Tumor
be65c37e-7aa8-466d-a1fe-102e8e25e2e9	TCGA-AR-A255-01A	Primary Tumor
051a1102-a815-4b39-b903-80d8b4a2348f	TCGA-AO-A0J8-01A	Primary Tumor
5711aa8f-5cd6-41d0-b469-40f049556693	TCGA-C8-A278-01A	Primary Tumor
be10214b-9a03-4556-b28b-5775028c782b	TCGA-AC-A3W7-01A	Primary Tumor
70ea9273-29f3-425a-ba66-5b75db62c9b7	TCGA-B6-A0IE-01A	Primary Tumor
06fc39a9-8059-4ac7-9b2b-64f6c7d3b8a1	TCGA-UL-AAZ6-01A	Primary Tumor
4c8d0d1a-dbd3-4124-8458-dfb61f61f11c	TCGA-A2-A0CL-01A	Primary Tumor
b26b27b0-5209-483c-a359-9a5d3ae920e9	TCGA-BH-A6R8-01A	Primary Tumor
73ac99d6-d01b-45d9-8df2-205610109911	TCGA-AC-A23E-01A	Primary Tumor
2e6baa15-85d7-43b0-8a89-a0dc169ae16a	TCGA-AC-A3HN-01A	Primary Tumor
7b9b6f5f-bd99-421a-a22c-d3fbe110ee73	TCGA-E2-A108-01A	Primary Tumor
7b4d770a-2b8c-4ca5-bf51-c4745c5de39a	TCGA-3C-AALK-01A	Primary Tumor
934935ae-037b-451d-a696-0679b07bd401	TCGA-BH-A0DP-11A	Solid Tissue Normal
537ec810-35bc-47d8-8242-72ef91cd63e0	TCGA-AO-A0J9-01A	Primary Tumor
cd417f4e-c065-4e73-a7c7-955b2fe71add	TCGA-A7-A26G-01A	Primary Tumor
783b4e4f-d65d-4025-a7ce-99a7e86255e9	TCGA-E2-A1IJ-01A	Primary Tumor
280141da-fd54-4901-bc15-5d106c56fb23	TCGA-BH-A0B4-01A	Primary Tumor
81801e72-d293-42e0-8871-5468e33b6d89	TCGA-BH-A0B6-01A	Primary Tumor
b01d7dfd-b577-48b8-8bf2-3c74bb617601	TCGA-BH-A0B5-11A	Solid Tissue Normal
d757b1cc-31a6-495a-ae82-c63b031ece49	TCGA-BH-A1F6-11B	Solid Tissue Normal
b0e906d2-e2ae-49fa-8d7a-8a00f1d6d0a1	TCGA-A8-A07R-01A	Primary Tumor
ddd1c3de-8266-4f56-a982-bcc20b868e90	TCGA-E9-A54Y-01A	Primary Tumor
82004d79-07d3-4a01-b266-4d36353ba561	TCGA-E2-A1L6-01A	Primary Tumor
