barcode	type
TCGA-3C-AALK-01A	tumor
TCGA-A1-A0SD-01A	tumor
TCGA-A1-A0SF-01A	tumor
TCGA-A1-A0SH-01A	tumor
TCGA-A2-A04N-01A	tumor
TCGA-A2-A04P-01A	tumor
TCGA-A2-A04Q-01A	tumor
TCGA-A2-A04R-01A	tumor
TCGA-A2-A04T-01A	tumor
TCGA-A2-A04U-01A	tumor
TCGA-A2-A04V-01A	tumor
TCGA-A2-A04W-01A	tumor
TCGA-A2-A04X-01A	tumor
TCGA-A2-A0CK-01A	tumor
TCGA-A2-A0CM-01A	tumor
TCGA-A2-A0CP-01A	tumor
TCGA-A2-A0CS-01A	tumor
TCGA-A2-A0CT-01A	tumor
TCGA-A2-A0CX-01A	tumor
TCGA-A2-A0CY-01A	tumor
TCGA-A2-A0CZ-01A	tumor
TCGA-A2-A0D4-01A	tumor
TCGA-A2-A0EM-01A	tumor
TCGA-A2-A0EN-01A	tumor
TCGA-A2-A0EO-01A	tumor
TCGA-A2-A0EP-01A	tumor
TCGA-A2-A0EX-01A	tumor
TCGA-A2-A0ST-01A	tumor
TCGA-A2-A0SW-01A	tumor
TCGA-A2-A0T3-01A	tumor
TCGA-A2-A0T7-01A	tumor
TCGA-A2-A0YG-01A	tumor
TCGA-A2-A0YH-01A	tumor
TCGA-A2-A0YK-01A	tumor
TCGA-A2-A0YL-01A	tumor
TCGA-A2-A0YM-01A	tumor
TCGA-A2-A1FV-01A	tumor
TCGA-A2-A1FX-01A	tumor
TCGA-A2-A1G0-01A	tumor
TCGA-A2-A1G1-01A	tumor
TCGA-A2-A1G4-01A	tumor
TCGA-A2-A1G6-01A	tumor
TCGA-A2-A259-01A	tumor
TCGA-A2-A25E-01A	tumor
TCGA-A2-A3KC-01A	tumor
TCGA-A2-A3KD-01A	tumor
TCGA-A2-A3XT-01A	tumor
TCGA-A2-A3XV-01A	tumor
TCGA-A2-A3XX-01A	tumor
TCGA-A2-A4RY-01A	tumor
TCGA-A2-A4S3-01A	tumor
TCGA-A7-A0CD-01A	tumor
TCGA-A7-A0CE-01A	tumor
TCGA-A7-A0CE-11A	normal
TCGA-A7-A0CH-01A	tumor
TCGA-A7-A0CH-11A	normal
TCGA-A7-A0D9-01A	tumor
TCGA-A7-A0D9-11A	normal
TCGA-A7-A0DB-01A	tumor
TCGA-A7-A0DB-11A	normal
TCGA-A7-A0DC-11A	normal
TCGA-A7-A13D-01A	tumor
TCGA-A7-A13D-01B	tumor
TCGA-A7-A13E-01A	tumor
TCGA-A7-A13E-11A	normal
TCGA-A7-A13F-11A	normal
TCGA-A7-A13G-01A	tumor
TCGA-A7-A13G-11A	normal
TCGA-A7-A13H-01A	tumor
TCGA-A7-A26E-01B	tumor
TCGA-A7-A26F-01B	tumor
TCGA-A7-A26G-01A	tumor
TCGA-A7-A26H-01A	tumor
TCGA-A7-A26I-01A	tumor
TCGA-A7-A26I-01B	tumor
TCGA-A7-A26J-01A	tumor
TCGA-A7-A26J-01B	tumor
TCGA-A7-A3IY-01A	tumor
TCGA-A7-A3J1-01A	tumor
TCGA-A7-A3RF-01A	tumor
TCGA-A7-A425-01A	tumor
TCGA-A7-A426-01A	tumor
TCGA-A7-A4SB-01A	tumor
TCGA-A7-A4SE-01A	tumor
TCGA-A7-A4SF-01A	tumor
TCGA-A7-A5ZV-01A	tumor
TCGA-A7-A5ZW-01A	tumor
TCGA-A7-A6VW-01A	tumor
TCGA-A7-A6VX-01A	tumor
TCGA-A8-A06O-01A	tumor
TCGA-A8-A06P-01A	tumor
TCGA-A8-A06Q-01A	tumor
TCGA-A8-A06U-01A	tumor
TCGA-A8-A06Y-01A	tumor
TCGA-A8-A076-01A	tumor
TCGA-A8-A079-01A	tumor
TCGA-A8-A07B-01A	tumor
TCGA-A8-A07C-01A	tumor
TCGA-A8-A07E-01A	tumor
TCGA-A8-A07F-01A	tumor
TCGA-A8-A07G-01A	tumor
TCGA-A8-A07I-01A	tumor
TCGA-A8-A07J-01A	tumor
TCGA-A8-A07P-01A	tumor
TCGA-A8-A07R-01A	tumor
TCGA-A8-A07S-01A	tumor
TCGA-A8-A07W-01A	tumor
TCGA-A8-A082-01A	tumor
TCGA-A8-A086-01A	tumor
TCGA-A8-A08C-01A	tumor
TCGA-A8-A08G-01A	tumor
TCGA-A8-A08H-01A	tumor
TCGA-A8-A08I-01A	tumor
TCGA-A8-A08P-01A	tumor
TCGA-A8-A08S-01A	tumor
TCGA-A8-A08T-01A	tumor
TCGA-A8-A08X-01A	tumor
TCGA-A8-A091-01A	tumor
TCGA-A8-A092-01A	tumor
TCGA-A8-A093-01A	tumor
TCGA-A8-A095-01A	tumor
TCGA-A8-A097-01A	tumor
TCGA-A8-A09B-01A	tumor
TCGA-A8-A09D-01A	tumor
TCGA-A8-A09Q-01A	tumor
TCGA-A8-A09R-01A	tumor
TCGA-A8-A09T-01A	tumor
TCGA-A8-A09Z-01A	tumor
TCGA-A8-A0A2-01A	tumor
TCGA-AC-A23E-01A	tumor
TCGA-AC-A23G-01A	tumor
TCGA-AC-A23H-11A	normal
TCGA-AC-A2BM-01A	tumor
TCGA-AC-A2FB-11A	normal
TCGA-AC-A2FE-01A	tumor
TCGA-AC-A2FF-01A	tumor
TCGA-AC-A2FF-11A	normal
TCGA-AC-A2FK-01A	tumor
TCGA-AC-A2FM-11B	normal
TCGA-AC-A2FO-01A	tumor
TCGA-AC-A2QH-01A	tumor
TCGA-AC-A2QJ-01A	tumor
TCGA-AC-A3OD-01A	tumor
TCGA-AC-A3QP-01A	tumor
TCGA-AC-A3QQ-01B	tumor
TCGA-AC-A3TM-01A	tumor
TCGA-AC-A3TN-01A	tumor
TCGA-AC-A3W5-01A	tumor
TCGA-AC-A3YI-01A	tumor
TCGA-AC-A4ZE-01A	tumor
TCGA-AC-A5XU-01A	tumor
TCGA-AC-A6NO-01A	tumor
TCGA-AC-A8OP-01A	tumor
TCGA-AC-A8OQ-01A	tumor
TCGA-AC-A8OS-01A	tumor
TCGA-AN-A03X-01A	tumor
TCGA-AN-A046-01A	tumor
TCGA-AN-A0AJ-01A	tumor
TCGA-AN-A0AM-01A	tumor
TCGA-AN-A0AT-01A	tumor
TCGA-AN-A0FD-01A	tumor
TCGA-AN-A0FK-01A	tumor
TCGA-AN-A0FL-01A	tumor
TCGA-AN-A0FN-01A	tumor
TCGA-AN-A0FY-01A	tumor
TCGA-AN-A0G0-01A	tumor
TCGA-AN-A0XO-01A	tumor
TCGA-AN-A0XP-01A	tumor
TCGA-AN-A0XR-01A	tumor
TCGA-AN-A0XT-01A	tumor
